package,file,width,height,orange_ratio,bright_orange_ratio,orange_bbox_width,orange_bbox_height,orange_bbox_aspect,avg_orange_r,avg_orange_g,avg_orange_b,left_orange_samples,right_orange_samples,component_score,component_width,component_height,component_aspect,component_area,component_left_height,component_mid_height,component_diamond_ratio,component_left_area_ratio,component_right_area_ratio,component_min_x,component_min_y,component_max_x,component_max_y,score,long_orange_bar,diamond_long_bar,targetstatus_family,source
EFUI_STATUS,targetstatus_loc_int_i2e8_nopack.png,148,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i2e8_nopack.png
EFUI_STATUS,targetstatus_loc_int_i2f6.png,1024,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i2f6.png
EFUI_STATUS,targetstatus_loc_int_i335.png,1024,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i335.png
EFUI_STATUS,targetstatus_loc_int_i448_nopack.png,672,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i448_nopack.png
EFUI_STATUS,targetstatus_loc_int_i57c_nopack.png,76,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i57c_nopack.png
EFUI_STATUS,targetstatus_loc_int_i57d_nopack.png,148,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i57d_nopack.png
EFUI_EPICGATECOMMANDERPROCESS,epicgatecommanderprocess_iad.png,1024,1024,0.007309,0.002548,900.0,196.0,4.5918,236.31,46.9,0.0,223,256,28.0,24.0,24.0,1.0,17,4.0,24.0,0.1667,0.1176,0.0588,352.0,384.0,372.0,404.0,66.9502,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATECOMMANDERPROCESS\Texture2D\epicgatecommanderprocess_iad.png
EFUI_ICONATLAS_C,characterpreset_bard_0.png,1024,1024,0.007507,0.001526,1016.0,1012.0,1.004,136.07,99.37,85.15,236,256,28.0,28.0,20.0,1.4,21,20.0,16.0,1.25,0.5238,0.1429,268.0,320.0,292.0,336.0,66.2953,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_C\Texture2D\characterpreset_bard_0.png
EFUI_BACKGROUNDIMG,raid_img_12.png,1188,656,0.006372,0.003352,932.77,556.88,1.675,153.05,71.11,97.38,52,178,28.0,23.2,18.56,1.25,11,13.92,18.56,0.75,0.3636,0.0909,380.53,292.36,399.09,306.28,66.1377,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_BACKGROUNDIMG\Texture2D\raid_img_12.png
EFUI_COLOSSEUM,colosseumentrance_i7.png,1024,1024,0.002075,6.1e-05,432.0,68.0,6.3529,120.8,97.6,0.15,16,120,42.0,64.0,4.0,16.0,16,4.0,4.0,1.0,0.3125,0.125,484.0,952.0,544.0,952.0,65.5792,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_COLOSSEUM\Texture2D\colosseumentrance_i7.png
